"#","Name","gp.1","GS","MIN","MPG","gp.2","PPG","FGM","FGA","FG%","FTM","FTA","FT%","3PM","3PA","3P%","PTS","High","gp.3","RPG","OFF","DEF","REB","gp.4","AST","APG","TO","TOPG","STL","SPG","BLK","BLKPG","PF","PFPG","TF","PPG.x","FGM.x","FGA.x","FG%.x","FTM.x","FTA.x","FT%.x","3PM.x","3PA.x","3P%.x","PTS.x","High.x","RPG.x","OFF.x","DEF.x","REB.x","AST.x","APG.x","TO.x","TOPG.x","STL.x","SPG.x","BLK.x","BLKPG.x","PF.x","PFPG.x","TF.x","gp.5","PPG.y","FGM.y","FGA.y","FG%.y","FTM.y","FTA.y","FT%.y","3PM.y","3PA.y","3P%.y","PTS.y","High.y","gp.6","RPG.y","OFF.y","DEF.y","REB.y","gp.7","AST.y","APG.y","TO.y","TOPG.y","STL.y","SPG.y","BLK.y","BLKPG.y","PF.y","PFPG.y","TF.y","GS.x","MIN.x","MPG.x","GS.y","MIN.y","MPG.y","gp.8"
NA,"Greg Calixte",1,0,22,22,8,13.6,10,21,0.476,4,9,0.444,0,0,0,109,29,4,7,5,5,28,3,4,1.3,1,0.3,2,0.7,6,2,4,1.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Noah Morgan",1,0,28,28,9,15.3,8,22,0.364,6,8,0.75,4,8,0.5,138,22,6,6.3,4,8,38,5,15,3,2,0.4,5,1,4,0.8,2,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Jason Douglas-Stanley",NA,NA,NA,NA,7,18.3,8,13,0.615,2,2,1,4,8,0.5,128,25,2,3.5,0,3,7,3,5,1.7,0,0,11,3.7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Demetre Roberts",NA,NA,NA,NA,6,8.3,0,0,0,0,0,0,0,0,0,50,14,2,5,0,0,10,3,11,3.7,0,0,11,3.7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Eric Monroe",NA,NA,NA,NA,5,9.4,0,0,0,0,0,0,0,0,0,47,17,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Truth Harris",NA,NA,NA,NA,3,7.3,0,0,0,0,0,0,0,0,0,22,13,1,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Derrick Hamlin",NA,NA,NA,NA,4,3.8,0,0,0,0,0,0,0,0,0,15,7,1,2,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Demetrius Lee",NA,NA,NA,NA,3,3.3,2,3,0.667,0,0,0,0,0,0,10,4,1,3,3,0,3,1,0,0,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Aaron Lewis",NA,NA,NA,NA,4,2.5,0,0,0,0,0,0,0,0,0,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"John Richardson",NA,NA,NA,NA,2,4,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
