"#","Name","gp.1","GS","MIN","MPG","gp.2","PPG","FGM","FGA","FG%","FTM","FTA","FT%","3PM","3PA","3P%","PTS","High","gp.3","RPG","OFF","DEF","REB","gp.4","AST","APG","TO","TOPG","STL","SPG","BLK","BLKPG","PF","PFPG","TF","PPG.x","FGM.x","FGA.x","FG%.x","FTM.x","FTA.x","FT%.x","3PM.x","3PA.x","3P%.x","PTS.x","High.x","RPG.x","OFF.x","DEF.x","REB.x","AST.x","APG.x","TO.x","TOPG.x","STL.x","SPG.x","BLK.x","BLKPG.x","PF.x","PFPG.x","TF.x","gp.5","PPG.y","FGM.y","FGA.y","FG%.y","FTM.y","FTA.y","FT%.y","3PM.y","3PA.y","3P%.y","PTS.y","High.y","gp.6","RPG.y","OFF.y","DEF.y","REB.y","gp.7","AST.y","APG.y","TO.y","TOPG.y","STL.y","SPG.y","BLK.y","BLKPG.y","PF.y","PFPG.y","TF.y","GS.x","MIN.x","MPG.x","GS.y","MIN.y","MPG.y","gp.8"
NA,"Chase Johnson",NA,NA,NA,NA,2,3,0,0,0,0,0,0,0,0,0,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Jayquan Smith",NA,NA,NA,NA,2,2.5,0,0,0,0,0,0,0,0,0,5,3,1,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Justin Currie",NA,NA,NA,NA,1,2,0,0,0,0,0,0,0,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Wendell Moore",1,0,29,29,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2,31,59,0.525,23,27,0.852,2,8,0.25,371,31,10.5,14,20,84,14,2.8,14,2.8,14,2.8,5,1,8,1.6,0,2,27.5,9,21,0.429,10,13,0.769,1,4,0.25,55,29,2,4,1,2,8,2,2,1,7,3.5,6,3,2,1,4,2,0,NA,NA,NA,NA,NA,NA,NA
NA,"Francis Sio",1,0,26,26,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,9,23,0.391,3,3,1,1,7,0.143,213,30,6,3,8,30,13,4.3,2,0.7,6,2,0,0,5,1.7,0,2,15.5,5,15,0.333,1,1,1,0,5,0,31,20,2,6,2,3,12,1,5,5,0,0,1,1,0,0,2,2,0,NA,NA,NA,NA,NA,NA,NA
NA,"Jessie Malit",1,0,29,29,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,6,10,0.6,1,3,0.333,0,0,0,17,13,5,1,3,5,3,3,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Jacari Johnson",NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,7,11,0.636,2,3,0.667,0,0,0,52,16,9.5,5,4,19,1,1,2,2,1,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Caleb Stone-Carrawell",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,0,0,0,0,0,0,0,0,0,34,13,5,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Jalen Bynum",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,0,0,0,0,0,0,0,0,0,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Markquis Nowell",1,0,31,31,2,19,6,16,0.375,0,0,0,2,7,0.286,38,24,1,5,1,4,5,1,10,10,7,7,2,2,0,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Keith Williams",1,0,31,31,2,24,11,24,0.458,6,9,0.667,4,8,0.5,48,32,1,11,7,4,11,1,2,2,5,5,2,2,1,1,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Jordan Thomas",1,0,23,23,1,11,3,3,1,5,6,0.833,0,0,0,11,11,1,7,2,5,7,1,2,2,0,0,0,0,0,0,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"Tyrese Gaffney",1,0,23,23,1,8,4,7,0.571,0,0,0,0,0,0,8,8,1,4,2,2,4,1,1,1,2,2,2,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"Richard Springs",1,0,22,22,1,10,5,8,0.625,0,2,0,0,0,0,10,10,1,9,5,4,9,1,0,0,2,2,0,0,1,1,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Matthew Hurt",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,12,27,0.444,5,6,0.833,1,4,0.25,30,30,7,3,4,7,1,1,1,1,0,0,1,1,0,0,0,1,30,12,27,0.444,5,6,0.833,1,4,0.25,30,30,1,7,3,4,7,1,1,1,1,1,0,0,1,1,0,0,0,0,31,31,0,31,31,1
NA,"Dedoch Chan",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,6,12,0.5,1,3,0.333,2,3,0.667,15,15,6,1,5,6,0,0,1,1,1,1,0,0,3,3,0,1,15,6,12,0.5,1,3,0.333,2,3,0.667,15,15,1,6,1,5,6,1,0,0,1,1,1,1,0,0,3,3,0,0,17,17,0,17,17,1
2,"Sharife Cooper",3,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,14,34,0.412,11,15,0.733,1,10,0.1,212,23,4,3,9,12,23,5.8,12,3,2,0.5,0,0,8,2,0,1,18,6,15,0.4,5,7,0.714,1,5,0.2,54,23,3,3,0,3,3,1,8,8,5,5,1,1,0,0,2,2,0,0,95,31.7,0,31,31,1
35,"Isaac Okoro",3,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6,28,50,0.56,19,27,0.704,4,9,0.444,330,35,9,7,20,45,1,0.3,9,3,1,0.3,4,1.3,6,2,0,1,26.3,10,20,0.5,2,6,0.333,3,5,0.6,79,27,3,7.5,3,4,15,2,0,0,2,2,1,1,2,2,2,2,0,0,96,32,0,32,32,1
11,"Babatunde Akingbofa",1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,1,4,0.25,0,2,0,0,0,0,33,14,9,3,6,9,0,0,3,1.5,0,0,8,4,1,0.5,0,NA,14,0,0,0,0,0,0,0,0,0,14,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,28,28,NA,NA,NA,NA
5,"Tre Peoples",1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,7,9,0.778,1,2,0.5,0,0,0,59,15,10.5,3,5,21,4,4,2,2,1,1,0,0,3,3,0,1,11.5,7,9,0.778,1,2,0.5,0,0,0,23,15,2,10.5,3,5,21,2,4,4,2,2,1,1,0,0,3,3,0,0,23,23,0,23,23,1
14,"Brandon Suggs",1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,2,5,0.4,4,6,0.667,2,4,0.5,50,16,5,1,4,5,1,1,3,3,2,2,1,1,3,3,0,1,10.5,2,5,0.4,4,6,0.667,2,4,0.5,21,11,2,5,1,4,5,1,1,1,3,3,2,2,1,1,3,3,0,0,23,23,0,23,23,1
25,"Devin Gordon",1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,3,6,0.5,2,3,0.667,1,3,0.333,21,12,4,1,3,4,0,0,1,1,1,1,0,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,23,23,NA,NA,NA,NA
NA,"John Petty Jr.",5,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4,67,127,0.528,59,75,0.787,16,51,0.314,421,36,8,8,37,136,64,4.6,19,1.4,16,1.1,15,1.1,6,0.4,0,1,21,6,10,0.6,8,9,0.889,1,2,0.5,21,21,1,7,2,5,7,1,6,6,5,5,1,1,1,1,4,4,0,1,149,29.8,0,30,30,1
1,"Brandon McCarver",4,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,21,35,0.6,8,14,0.571,0,1,0,108,18,5.3,14,12,32,7,1.4,3,0.6,4,0.8,3,0.6,13,2.6,0,1,17,6,6,1,5,6,0.833,0,0,0,17,17,1,5,3,2,5,1,1,1,1,1,2,2,0,0,4,4,0,1,106,26.5,0,30,30,1
12,"Jamar Jackson",4,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,19,30,0.633,5,3,0.667,9,16,0.562,53,14,3,8,7,18,11,2.2,2,0.4,7,1.4,1,0.2,7,1.4,0,1,7,2,4,0.5,1,2,0.5,2,3,0.667,7,7,1,1,0,1,1,1,2,2,1,1,0,0,0,0,1,1,0,1,82,20.5,0,26,26,1
22,"Brandon Nicholas",4,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3,26,46,0.565,10,13,0.769,15,29,0.517,100,23,2.3,3,11,14,12,2,12,2,5,0.8,0,0,8,1.3,0,1,14,5,11,0.455,1,3,0.333,3,7,0.429,14,14,1,3,0,3,3,1,2,2,2,2,0,0,0,0,1,1,0,1,106,26.5,0,32,32,1
NA,"Devonte Lanier",3,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,9,20,0.45,8,9,0.889,0,0,0,66,17,5,6,10,25,4,1,4,1,3,0.8,2,0.5,3,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,56,18.7,NA,NA,NA,NA
2,"Brandon Crosby",2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,5,16,0.312,4,4,1,7,6,0.167,13,11,1.7,1,4,5,12,4,8,2.7,7,2.3,0,0,1,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,58,29,NA,NA,NA,NA
NA,"LeJarrod Davis",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,0,0,0,0,0,2,2,NA,NA,NA,NA,0,0,1,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,8,NA,NA,NA,NA
5,"Jaquavious Horton",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA
10,"Quayton Gurley",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,1,0,0,0,0,2,2,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA
15,"Nate Jones",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA
NA,"Markese Jacobs",3,0,83,27.7,9,17.8,19,35,0.543,10,13,0.769,7,16,0.438,160,29,4,4.8,2,13,19,4,16,4,5,1.2,6,1.5,0,0,7,1.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Toraze Dobbs",3,0,60,20,10,15.4,15,30,0.5,5,6,0.833,2,9,0.222,154,28,8,9.9,3,18,79,4,5,1.2,5,1.2,5,1.2,3,0.8,11,2.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Demarius Jacobs",3,0,88,29.3,8,20.8,30,45,0.667,8,12,0.667,1,7,0.143,166,37,5,6,2,13,30,4,16,4,10,2.5,6,1.5,9,2.2,5,1.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Michael Flenory",1,0,26,26,2,6.5,5,7,0.714,0,0,0,2,2,1,13,12,1,5,3,2,5,1,6,6,2,2,2,2,1,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
